연번,설치년월,읍면동,도로명주소,지번주소,상세위치,데이터기준일
30,2017-11-01,서면,강원특별자치도 춘천시 방동리 1008-136,강원특별자치도 춘천시 서면 당산길 8,게이트볼장 옆,2024-01-30
31,2017-11-01,사북면,강원특별자치도 춘천시 사북면 배울길 3,강원특별자치도 춘천시 사북면 오탄리 171,커뮤니센터 앞,2024-01-30
32,2017-11-01,사북면, 강원특별자치도 춘천시 사북면 가일길 334,강원특별자치도 춘천시 가일리 129 ,마을회관,2024-01-30
33,2017-11-01,약사명동,강원특별자치도 춘천시  약사길 68,강원특별자치도 춘천시 약사동 69-31,,2024-01-30
34,2017-11-01,칠전동,강원특별자치도 춘천시 칠전동길 33 앞,강원특별자치도 춘천시 칠전동 605-8,,2024-01-30
35,2017-11-01,온의동,강원특별자치도 춘천시 경춘로 2277-1,강원특별자치도 춘천시 온의동 286-12,,2024-01-30
36,2018-09-01,퇴계동,강원특별자치도 춘천시 춘천로 13번길 25,강원특별자치도 춘천시 퇴계동 1188,,2024-01-30
37,2018-09-01,석사동,강원특별자치도 춘천시 석사동668,강원특별자치도 춘천시 석사동668,푸르미공원 입구,2024-01-30
38,2018-09-01,석사동,강원특별자치도 춘천시 후석로 48,강원특별자치도 춘천시 석사동665,석사동주민센터 옆 클린하우스,2024-01-30
39,2018-09-01,석사동,강원특별자치도 춘천시  벌말길 89,강원특별자치도 춘천시 석사동 697-1,석사동639 cu편의점 앞,2024-01-30
40,2018-09-01,석사동,강원특별자치도 춘천시 석사동900,강원특별자치도 춘천시 석사동900, 스무숲 주차장쪽,2024-01-30
41,2023-04-10,석사동,강원특별자치도 춘천시 석사동 우석로 70 ,강원특별자치도 춘천시 석사동 95-3 ,박물관위 클린하우스,2024-01-30
42,2023-04-10,석사동,강원특별자치도 춘천시 우석로4번길 63,강원특별자치도 춘천시 석사동 771-1 ,"박물관밑, 청룡사입구, 클린하우스",2024-01-30
43,2018-09-01,석사동,강원특별자치도 춘천시 애막골길 3번길,강원특별자치도 춘천시 석사동 우석로 79번길 28-2 ,강대스포츠센터건너편,2024-01-30
44,2023-04-10,석사동,강원특별자치도 춘천시 효석로 67,강원특별자치도 춘천시 석사동 710-13,석사아파트 하천변 클린하우스,2024-01-30
45,2018-09-01,퇴계동,강원특별자치도 춘천시  미나리길 7-1,강원특별자치도 춘천시 퇴계동 383-6,롯데슈퍼 옆 클린하우스,2024-01-30
46,2018-09-01,퇴계동,강원특별자치도 춘천시 퇴계로77번길 22-2,강원특별자치도 춘천시 퇴계동 343-45,빅힐모텔 앞 클린하우스,2024-01-30
47,2018-09-01,효자동,강원특별자치도 춘천시 효명길39-1,강원특별자치도 춘천시 효자동 439-9,"사거리,동제한의원 부근",2024-01-30
48,2018-11-01,효자동,강원특별자치도 춘천시 춘천로64번길 27,강원특별자치도 춘천시 효자동 689,"수협뒤, 칠성기업맞은편",2024-01-30
49,2018-11-01,효자동,강원특별자치도 춘천시 남춘로51번길 34,강원특별자치도 춘천시 효자동 697-20,양우아파트 후문,2024-01-30
50,2018-11-01,효자동,강원특별자치도 춘천시 남춘로 51번길 22,강원특별자치도 춘천시 효자동 706-3,양우아파트 정문쪽,2024-01-30
51,2018-11-01,효자동,강원특별자치도 춘천시 효자상길 9,강원특별자치도 춘천시 효자동 539-4,효자1동 주민센터 앞,2024-01-30
52,2018-11-01,동내면,강원특별자치도 춘천시 동내면 거두길 92-4 ,강원특별자치도 춘천시 거두리 583,킹스키즈어린이집 앞,2024-01-30
53,2018-11-01,동내면,강원특별자치도 춘천시 동내면 거두길 31,강원특별자치도 춘천시 동내면 거두리 548-2,거두1리 마을회관,2024-01-30
54,2018-11-01,후평동,강원특별자치도 춘천시 후석로 344번길,강원특별자치도 춘천시 후평동 429-17,부안막국수 뒤),2024-01-30
55,2018-11-01,퇴계동,강원특별자치도 춘천시 퇴계로 93번길,강원특별자치도 춘천시  퇴계동 392-63,하천변 클린하우스/복순이해물찜앞,2024-01-30
56,2019-03-01,석사동,강원특별자치도 춘천시 공지로 108-10,강원특별자치도 춘천시 석사동 325-1,미리네공원 인근,2024-01-30
57,2023-04-10,온의동,강원특별자치도 춘천시 영서로 2277번길 ,강원특별자치도 춘천시  온의동 515-1,터미널 농협뒤,2024-01-30
58,2019-06-01,동내면,강원특별자치도 춘천시 동내면 춘천순환로72번길 72,강원특별자치도 춘천시 동내면 거두리 990-8,"교도소앞, 춘천퇴계유통앞",2024-01-30
59,2019-06-01,효자동,강원특별자치도 춘천시 명주길5번길 23-2,강원특별자치도 춘천시 효자동 446-61,"공원입구, 클린하우스",2024-01-30
60,2023-04-10,동내면,강원특별자치도 춘천시 동내면 거두택지길 4-25,강원특별자치도 춘천시 거두리 974-1,극동아파트 건너편,2024-01-30
61,2023-04-10,석사동,강원특별자치도 춘천시 동내면 새롬공원길 5번길 1,강원특별자치도 춘천시 석사동 843-10,썸데이카페앞,2024-01-30
62,2023-04-10,동내면,강원특별자치도 춘천시 동내면 거두택지길 87-12,강원특별자치도 춘천시 거두리 1111-12,비스트로마리오까페앞,2024-01-30
63,2019-06-01,남산면,강원특별자치도 춘천시 산수길 301-10,강원특별자치도 춘천시 남산면 산수리 249,산수1리마을쉼터 옆,2024-01-30
64,2019-06-01,남산면,강원특별자치도 춘천시 강촌리681-3,강원특별자치도 춘천시 강촌리681-3,강촌자율방범대 옆,2024-01-30
65,2019-06-01,퇴계동,강원특별자치도 춘천시 춘천시 김유정로 1852-31,강원특별자치도 춘천시  퇴계동 111-27,퇴계동 홈플러스 건너편,2024-01-30
66,2019-06-01,석사동,강원특별자치도 춘천시 석사동 79번길,강원특별자치도 춘천시 석사동 78,강원대스포츠센터 위/ 정형외과앞,2024-01-30
67,2020-06-01,북산면,강원특별자치도 춘천시 북산면 추곡리 95-2,강원특별자치도 춘천시 북산면 추곡리 95-2,,2024-01-30
68,2020-06-01,후평동,강원특별자치도 춘천시 춘천로 387,강원특별자치도 춘천시 후평동 296-9,형제기업사옆,2024-01-30
69,2020-06-01,후평동,강원특별자치도 춘천시 춘천로 370번길 23-1,강원특별자치도 춘천시 후평동 300-1,,2024-01-30
70,2020-06-01,교동,강원특별자치도 춘천시 삭주로 45-1,강원특별자치도 춘천시 교동 150-9,,2024-01-30
71,2020-06-01,교동,강원특별자치도 춘천시 교동길 74-1,강원특별자치도 춘천시 교동 11-73,,2024-01-30
72,2020-06-01,교동,강원특별자치도 춘천시 전원안길33번길 3,강원특별자치도 춘천시 교동 113-69,,2024-01-30
73,2020-06-01,후평동,강원특별자치도 춘천시 삭주로 108번길 33,강원특별자치도 춘천시 후평동 862-4,,2024-01-30
74,2020-06-01,후평동,강원특별자치도 춘천시 후석로 379번길 38,강원특별자치도 춘천시 후평동 853-7,후평새싹공원 클린하우스,2024-01-30
75,2020-06-01,후평동,강원특별자치도 춘천시 춘천로 295번길 8,강원특별자치도 춘천시 후평동 378-29,,2024-01-30
76,2020-06-01,후평동,강원특별자치도 춘천시 춘천로 269번길 7,강원특별자치도 춘천시 후평동 676-12,,2024-01-30
77,2023-04-10,후평동,강원특별자치도 춘천시 대양당길 9번길 15,강원특별자치도 춘천시 후평동 804-20,후평3동 주민센터 옆,2024-01-30
78,2023-04-10,후평동,강원특별자치도 춘천시 춘천로 282번길,강원특별자치도 춘천시 후평동 683-14,,2024-01-30
79,2023-04-10,효자동,강원특별자치도 춘천시 두하길 21 ,강원특별자치도 춘천시 효자동 44-49,효자3동 행정복지센터 내,2024-01-30
80,2023-04-10,효자동,강원특별자치도 춘천시 서부대성로 18-4,강원특별자치도 춘천시 효자동127-11,,2024-01-30
81,2023-04-10,효자동,강원특별자치도 춘천시 둥지길 47번길 8(효자동 126-155),강원특별자치도 춘천시 효자동 126-155,,2024-01-30
82,2023-04-10,효자동,강원특별자치도 춘천시 효자2동 산32-53,강원특별자치도 춘천시 효자2동 산32-53,지성공원,2024-01-30
83,2023-04-10,효자동,강원특별자치도 춘천시 백령로119번길,강원특별자치도 춘천시 효자동 776-7,청소년수련관뒤,2024-01-30
84,2023-04-10,효자동,강원특별자치도 춘천시 효자동171-14,강원특별자치도 춘천시 효자동171-14,효제초교부근,2024-01-30
85,2023-04-10,효자동,강원특별자치도 춘천시 효제길 23번길 18-1,강원특별자치도 춘천시 효자동 159-40,,2024-01-30
86,2023-04-10,효자동,강원특별자치도 춘천시 백령로 51,강원특별자치도 춘천시 효자동 174-59,,2024-01-30
87,2023-04-10,후평동,강원특별자치도 춘천시 후만로 116번길,강원특별자치도 춘천시 후평동 883,,2024-01-30
88,2023-04-10,석사동,강원특별자치도 춘천시 우석로85번길-14,강원특별자치도 춘천시 석사동 724-8번지,미리네공원,2024-01-30
89,2023-04-10,후평동,강원특별자치도 춘천시 후만로 116번길-20,강원특별자치도 춘천시 후평동 878,행복한교회부근 클린하우스,2024-01-30
90,2023-04-10,신동면,강원특별자치도 춘천시 삼포길67,강원특별자치도 춘천시 신동면 증리 131-11,증4리마을쉼터 옆,2024-01-30
91,2023-04-10,신동면,강원특별자치도 춘천시 증리 1041-1,강원특별자치도 춘천시 증리 1041-1,버스종점옆,2024-01-30
92,2023-04-10,신동면,강원특별자치도 춘천시 팔미리 267-3,강원특별자치도 춘천시 팔미리 267-3,동네마당 옆,2024-01-30
93,2023-04-10,동면,강원특별자치도 춘천시 가산로 45,강원특별자치도 춘천시 동면 지내리 133-4,가산권역도농교류센터뒤편,2024-01-30
94,2023-04-10,동면,강원특별자치도 춘천시 동면 길골길 224,강원특별자치도 춘천시 상걸리 601,상걸교내려가기전도로옆,2024-01-30
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
